UniqueID,FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
1,AMNH_103040.00000001,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,1,
2,AMNH_103040.00000002,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,2,
3,AMNH_103040.00000003,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,3,
4,AMNH_103040.00000004,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,4,
5,AMNH_103040.00000005,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,5,
6,AMNH_103040.00000006,FMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,1,
7,AMNH_103040.00000007,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,2,
8,AMNH_103040.00000008,FMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,3,
9,AMNH_103040.00000009,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,4,
10,AMNH_103040.00000010,FMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,5,
11,AMNH_103040.00000011,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,1,
12,AMNH_103040.00000012,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,2,
13,AMNH_103040.00000013,FMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,3,
14,AMNH_103040.00000014,FMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Female,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,4,
15,AMNH_103040.00000015,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,5,
16,AMNH_103040.00000016,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,1,
17,AMNH_103040.00000017,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,2,
18,AMNH_103040.00000018,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,3,
19,AMNH_103040.00000019,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,4,
